SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,OpeningTimeIndex,Weekday,OpeningTime,ClosingTime,OffsetOpeningTime,OffsetClosingTime,OpeningTimeType,AdditionalOpeningDate,IsOpen,FromAgeDays,ToAgeDays
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,1,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,2,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,3,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,4,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,5,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,6,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,7,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,1,Sunday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,2,Monday,00:00,23:59,0,1439,General,,true,5844,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,3,Tuesday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,4,Thursday,00:00,23:59,0,1439,General,,true,5844,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,5,Saturday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,6,Wednesday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,7,Friday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,8,Sunday,00:00,23:59,0,1439,General,,true,5844,47481
