SourceFile,SearchKey,ODSCode,OrganisationName,PeriodIndex,PeriodServiceIndex,ServiceCode,ServiceName
page_000033.json,X11533,FR518,JHL PHARMACIES,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000033.json,X11533,FR518,JHL PHARMACIES,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000033.json,X11538,FR570,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000033.json,X11538,FR570,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000033.json,X11538,FR570,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000034.json,X11605,FR912,WELL,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11605,FR912,WELL,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11605,FR912,WELL,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11607,FR940,Zaxgate Ltd,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11607,FR940,Zaxgate Ltd,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11607,FR940,Zaxgate Ltd,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11617,FRA19,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11617,FRA19,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11617,FRA19,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11646,FRC69,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11646,FRC69,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11646,FRC69,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11661,FRD47,Benjamin Chemist,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11661,FRD47,Benjamin Chemist,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11661,FRD47,Benjamin Chemist,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11665,FRD67,Superdrug Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11665,FRD67,Superdrug Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11665,FRD67,Superdrug Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X116848,FLL64,Cohens Chemist,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X116848,FLL64,Cohens Chemist,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X116848,FLL64,Cohens Chemist,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X116988,FG537,Ashdale Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X116988,FG537,Ashdale Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X116988,FG537,Ashdale Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11714,FRG12,Chemitex Ltd,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000034.json,X11714,FRG12,Chemitex Ltd,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000034.json,X11714,FRG12,Chemitex Ltd,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000034.json,X11748,FRH46,Macks Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000034.json,X11748,FRH46,Macks Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11748,FRH46,Macks Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11765,FRJ40,BIRK & NAGRA CHEMIST,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
